Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4,A6,X,10.5,7.3,9.1,31,214
INFINITI,'Q70 AWD',MID-SIZE,5.6,8,AS7,Z,14.9,10.2,12.8,22,301
AUDI,'R8 SPYDER',TWO-SEATER,5.2,10,AM7,Z,16.5,11.2,14.1,20,330
VOLVO,'S60 T5 AWD',COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,232
CHEVROLET,'Silverado 4WD','PICKUP TRUCK - STANDARD',5.3,8,A8,X,14.9,10.8,13.1,22,306
CADILLAC,'CTS COUPE AWD',MID-SIZE,3.6,6,AS6,X,13.3,9,11.4,25,262
AUDI,'S3 QUATTRO',SUBCOMPACT,2,4,AM6,Z,10.1,7.7,9,31,211
CHEVROLET,'SILVERADO FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,298
HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.8,6.7,8.4,34,193
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,6.7,12,A8,Z,20.7,12.8,17.1,17,393
FIAT,'124 SPIDER',TWO-SEATER,1.4,4,A6,X,9.3,6.5,8,35,187
FIAT,'500 ABARTH CABRIO',MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
KIA,'FORTE 5',FULL-SIZE,1.6,4,AS6,X,11.1,8,9.7,29,228
LEXUS,'IS 350',COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27,244
HONDA,'CIVIC SEDAN',MID-SIZE,1.5,4,AV,X,7.4,5.6,6.6,43,153
BUICK,'ENCORE SPORT TOURING','SUV - SMALL',1.4,4,AS6,X,8.5,6.9,7.8,36,182
AUDI,'RS 5 Sportback',MID-SIZE,2.9,6,AS8,Z,13.5,9,11.5,25,268
NISSAN,'Sentra Nismo',MID-SIZE,1.6,4,M6,Z,9.5,7.6,8.7,32,204
PORSCHE,'Panamera 4',FULL-SIZE,3,6,AM8,Z,12.4,9,10.9,26,253
JEEP,'GRAND CHEROKEE 4X4 (MDS)','SUV - STANDARD',5.7,8,A8,X,17.3,11.7,14.8,19,340
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,28,235
CHEVROLET,'CITY EXPRESS','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.8,9,9.4,30,220
PORSCHE,'911 CARRERA 4',MINICOMPACT,3,6,AM7,Z,10.7,8.3,9.6,29,225
'ASTON MARTIN','VANTAGE GT',TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343
FORD,'FLEX AWD GTDI','SUV - STANDARD',3.5,6,AS6,X,15.7,11.2,13.7,21,321
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8,35,184
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
DODGE,'Journey AWD','SUV - SMALL',3.6,6,A6,X,14.5,10,12.4,23,292
AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.6,8.9,32,212
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,182
BMW,'X1 xDRIVE28i','SUV - SMALL',2,4,A8,Z,10.6,7.2,9.1,31,209
FORD,EDGE,'SUV - SMALL',2,4,AS6,X,11.5,7.8,9.8,29,231
MITSUBISHI,LANCER,COMPACT,2.4,4,M5,X,10.5,7.7,9.2,31,217
TOYOTA,'RAV4 AWD','SUV - SMALL',2.5,4,AS8,X,9.2,7.1,8.2,34,194
CADILLAC,'XTS Vsport AWD',FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,A6,X,12,9.1,10.7,26,246
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,AV,X,7,5.9,6.5,43,151
VOLVO,'XC70 AWD','SUV - SMALL',3,6,AS6,X,13.4,9.8,11.8,24,271
VOLVO,'XC70 T5','SUV - SMALL',2,4,AS8,X,10.3,7.6,9.1,31,213
NISSAN,Murano,'STATION WAGON - MID-SIZE',3.5,6,AV7,X,11.7,8.3,10.2,28,240
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,E,20.2,13.6,17.2,16,275
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3,M6,Z,8.5,6.3,7.5,38,175
'LAND ROVER','RANGE ROVER SPORT V6 3.0 SC FFV','SUV - STANDARD',3,6,AS8,E,19.4,14.9,17.4,16,278
MERCEDES-BENZ,'AMG SL 63',TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,298
CHEVROLET,'TAHOE FFV','SUV - STANDARD',5.3,8,A6,E,20,13.5,17.1,17,284
SCION,xD,SUBCOMPACT,1.8,4,M5,X,8.6,7.1,7.9,36,182
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',3.2,6,A9,X,11.6,8.6,10.3,27,241
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2,4,AS7,Z,9.2,6.6,8,35,184
GMC,'Sierra FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,22.2,16.2,19.5,14,326
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4,M5,X,11.3,8.9,10.2,28,235
HYUNDAI,ELANTRA,MID-SIZE,2,4,M6,X,9.8,7,8.5,33,196
FORD,MUSTANG,SUBCOMPACT,2.3,4,AS6,X,11,7.9,9.6,29,226
VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,9.7,29,223
AUDI,'S6 QUATTRO',MID-SIZE,4,8,AM7,Z,13.3,8.8,11.3,25,263
BUICK,'ENCLAVE AWD','SUV - STANDARD',3.6,6,A6,X,14.6,10.2,12.6,22,290
FORD,'F-150 (Payload Pkg)','PICKUP TRUCK - STANDARD',3.5,6,AS10,X,13.8,10.7,12.4,23,290
BMW,'Z4 sDRIVE35is',TWO-SEATER,3,6,AM7,Z,13.7,10,12.1,23,278
JAGUAR,'XF 20d AWD',MID-SIZE,2,4,AS8,D,7.8,5.8,6.9,41,186
PORSCHE,'Panamera 4 ST',FULL-SIZE,3,6,AM8,Z,12.2,8.9,10.7,26,250
TOYOTA,'Corolla Hatchback',COMPACT,2,4,AV10,X,7.5,5.8,6.7,42,158
MASERATI,'GHIBLI SQ4',MID-SIZE,3,6,AS8,Z,14.7,9.9,12.6,22,295
DODGE,'Challenger Widebody (MDS)',MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
CHRYSLER,'300 AWD FFV',FULL-SIZE,3.6,6,A8,E,17.6,12,15,19,248
GMC,'Yukon XL 4WD','SUV - STANDARD',5.3,8,A6,X,16.8,11.3,14.4,20,337
INFINITI,Q60,SUBCOMPACT,3.7,6,M6,Z,13.6,9.3,11.6,24,267
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6,AS6,X,12.9,9.4,11.3,25,265
BMW,'X2 xDRIVE28i','SUV - SMALL',2,4,AS8,Z,11,7.7,9.5,30,222
CHEVROLET,'Silverado 4WD','PICKUP TRUCK - STANDARD',5.3,8,A8,X,14.7,10.7,12.9,22,303
HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.4,64,103
KIA,'FORTE (MPI)',MID-SIZE,2,4,AS6,X,8,6.1,7.1,40,168
HYUNDAI,ELANTRA,MID-SIZE,2,4,M6,X,9.3,6.4,8,35,188
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,10.3,7.2,8.9,32,207
VOLKSWAGEN,TIGUAN,'SUV - SMALL',2,4,M6,Z,13,9,11.2,25,259
MASERATI,'GHIBLI S',MID-SIZE,3,6,AS8,Z,14.5,10,12.4,23,293
MINI,'COOPER CLUBMAN ALL4',MID-SIZE,1.5,3,AS8,Z,10.2,7.8,9.1,31,213
FORD,'ESCAPE AWD','SUV - SMALL',1.5,4,AS6,X,10.7,8.3,9.6,29,226
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,AV6,X,9.4,7.3,8.4,34,198
KIA,FORTE,MID-SIZE,2,4,M6,X,9.8,6.9,8.5,33,198
MERCEDES-BENZ,'C 300 4MATIC CABRIOLET',SUBCOMPACT,2,4,A9,Z,10.8,8,9.6,29,224
CHEVROLET,'Blazer AWD','SUV - SMALL',3.6,6,A9,X,12.7,9.5,11.3,25,265
CHEVROLET,'SUBURBAN 4WD FFV','SUV - STANDARD',5.3,8,A6,X,15.3,10.9,13.3,21,312
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4,M6,Z,8.6,7.2,8,35,188
FORD,'C-MAX HYBRID',FULL-SIZE,2,4,AV,X,5.7,6.2,5.9,48,138
BUICK,'LACROSSE AWD',MID-SIZE,3.6,6,AS9,X,11.8,8,10.1,28,237
VOLKSWAGEN,'GOLF R',COMPACT,2,4,M6,Z,11.1,8.1,9.8,29,227
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2,4,AM6,X,10.1,7.8,9.1,31,209
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6,A6,X,14.2,9.5,12.1,23,284
AUDI,'S5 CABRIOLET QUATTRO',SUBCOMPACT,3,6,AM7,Z,13.3,9.1,11.4,25,266
BMW,'528i xDRIVE',MID-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
MINI,'JOHN COOPER WORKS COUNTRYMAN ALL4',COMPACT,1.6,4,AS6,Z,10.1,7.7,9,31,212
TOYOTA,'Highlander Hybrid AWD','SUV - STANDARD',2.5,4,AV,X,6.7,6.8,6.7,42,158
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
MAZDA,'CX-5 4WD','SUV - SMALL',2.5,4,AS6,X,9.8,7.9,8.9,32,205
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3,AS6,Z,8.7,6.8,7.9,36,184
NISSAN,'PATHFINDER 4WD','SUV - SMALL',3.5,6,AV,X,12.3,9.3,11,26,253
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,19,13.9,16.7,17,384
BMW,'330i xDrive',COMPACT,2,4,AS8,Z,9.5,6.9,8.3,34,194
SMART,'FORTWO COUPE',TWO-SEATER,1,3,AM5,Z,6.8,6.2,6.5,43,150
KIA,'SEDONA SXL',MINIVAN,3.3,6,AS6,X,14.1,10.5,12.5,23,296
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13,17.3,16,405
CHEVROLET,Equinox,'SUV - SMALL',1.5,4,A6,X,9.2,7.3,8.3,34,196
BMW,'M850i xDrive Coupe',SUBCOMPACT,4.4,8,AS8,Z,13.6,9.3,11.7,24,273
HYUNDAI,'Elantra GT',FULL-SIZE,1.6,4,M6,X,10.3,7.9,9.2,31,218
BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.4,7.9,9.8,29,231
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I FFV','SUV - SMALL',2.4,4,A9,E,16.3,11.3,14,20,231
HYUNDAI,SONATA,FULL-SIZE,2,4,AS8,X,10.4,7.4,9.1,31,212
JEEP,'GRAND CHEROKEE 4X4','SUV - STANDARD',5.7,8,A8,X,16.6,10.7,14,20,328
'LAND ROVER','Range Rover Evoque P300','SUV - SMALL',2,4,AS9,Z,11.4,8.9,10.3,27,242
MERCEDES-BENZ,'E 250 BLUETEC 4MATIC',MID-SIZE,2.1,4,AS7,D,8.6,5.9,7.4,38,200
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,M6,X,10.9,8.3,9.7,29,228
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,E,20.5,14.5,17.8,16,296
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,M6,X,10.8,8.5,9.8,29,225
MERCEDES-BENZ,'C 350',COMPACT,3.5,6,AS7,Z,12,8.6,10.5,27,242
LINCOLN,'NAVIGATOR 4X4','SUV - STANDARD',3.5,6,AS6,X,15.9,12,14.2,20,333
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15,10.7,13.1,22,307
JEEP,COMPASS,'SUV - SMALL',2,4,AV,X,10.8,8.9,10,28,234
CHEVROLET,'EXPRESS 2500 PASSENGER','VAN - PASSENGER',4.8,8,A6,X,21,14.2,18,16,414
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4,A9,X,11.2,8,9.8,29,225
MERCEDES-BENZ,'AMG GLE 43 4MATIC Coupe','SUV - STANDARD',3,6,A9,Z,14.1,10.9,12.6,22,297
GMC,'SIERRA 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,E,20,15.1,17.8,16,285
CHEVROLET,'EXPRESS 2500 PASSENGER','VAN - PASSENGER',6,8,A6,X,22,14.9,18.8,15,441
BMW,'335i xDRIVE SEDAN',COMPACT,3,6,AS8,Z,11.9,7.8,10,28,230
SUBARU,'Legacy AWD',MID-SIZE,3.6,6,AV6,X,11.9,8.3,10.3,27,241
GMC,'Sierra 4WD AT4','PICKUP TRUCK - STANDARD',5.3,8,A8,X,15.3,11.8,13.7,21,320
LEXUS,'GS 200t',MID-SIZE,2,4,AS8,Z,10.6,7.2,9,31,212
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',6.2,8,A8,Z,16.3,11.6,14.2,20,327
'ASTON MARTIN',VANQUISH,MINICOMPACT,6,12,A8,Z,17.5,11.4,14.7,19,345
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,17.2,11.6,14.7,19,246
CHEVROLET,'TAHOE 4WD','SUV - STANDARD',5.3,8,A6,X,15.2,10.8,13.2,21,310
TOYOTA,'RAV4 HYBRID AWD','SUV - SMALL',2.5,4,AV6,X,6.9,7.6,7.2,39,169
PORSCHE,'911 GT2 RS',TWO-SEATER,3.8,6,AM7,Z,15.3,11.2,13.5,21,315
FORD,'TAURUS AWD',FULL-SIZE,3.5,6,AS6,X,14.6,10,12.5,23,294
GMC,'Sierra LTD 4WD','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.8,11.4,13.8,20,325
CHEVROLET,'CRUZE LIMITED',MID-SIZE,1.8,4,M6,X,9.4,6.6,8.1,35,190
GMC,'YUKON XL 4WD','SUV - STANDARD',5.3,8,A6,E,21.5,14.6,18.4,15,294
TOYOTA,C-HR,COMPACT,2,4,AV7,X,8.7,7.5,8.2,34,189
MITSUBISHI,RVR,'SUV - SMALL',2,4,M5,X,9.9,7.6,8.8,32,202
'LAND ROVER','Range Rover 5.0 Supercharged','SUV - STANDARD',5,8,AS8,Z,14.4,11.3,13,22,305
HONDA,HR-V,'SUV - SMALL',1.8,4,M6,X,9.3,7,8.3,34,193
VOLVO,'S90 T5 AWD',MID-SIZE,2,4,AS8,Z,10.6,7.4,9.2,31,215
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.3,6,AS6,X,12.2,9.3,10.9,26,256
FORD,F-150,'PICKUP TRUCK - STANDARD',3,6,AS10,D,10.8,8,9.5,30,256
PORSCHE,'911 CARRERA S CABRIOLET',MINICOMPACT,3,6,AM7,Z,10.8,8.4,9.7,29,228
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,M6,X,11.1,7.8,9.6,29,225
MAZDA,'CX-5 4WD','SUV - SMALL',2.5,4,AS6,X,9.8,7.9,9,31,210
MITSUBISHI,'LANCER AWD',COMPACT,2.4,4,AV6,X,10.5,8.2,9.5,30,219
CADILLAC,'CTS AWD',MID-SIZE,2,4,AS8,Z,11.2,8.1,9.8,29,229
VOLKSWAGEN,Beetle,COMPACT,2,4,AS6,X,9,7.1,8.2,34,191
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5,8,AS10,E,21.4,17.2,19.5,14,325
LAMBORGHINI,'AVENTADOR COUPE',TWO-SEATER,6.5,12,A7,Z,22.8,12.9,18.3,15,421
RAM,'1500 4X4','PICKUP TRUCK - STANDARD',3.6,6,A8,X,14.6,10.1,12.6,22,290
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,M6,X,8.1,6.4,7.3,39,171
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4,M6,X,8.4,6.9,7.7,37,177
AUDI,'A5 Sportback quattro',MID-SIZE,2,4,AM7,Z,10,7.3,8.8,32,205
INFINITI,'QX70 AWD','SUV - SMALL',3.7,6,AS7,Z,14.5,10.8,12.8,22,301
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,246
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4,A9,E,14.2,9.9,12.2,23,195
HONDA,Odyssey,MINIVAN,3.5,6,AS9,X,12.6,8.4,10.7,26,252
CHEVROLET,Equinox,'SUV - SMALL',1.5,4,A6,X,9.2,7.3,8.3,34,196
MAZDA,'CX-5 4WD (Cylinder Deactivation)','SUV - SMALL',2.5,4,AS6,X,9.8,7.9,9,31,208
GMC,'CANYON 4WD','PICKUP TRUCK - SMALL',2.8,4,A6,D,12.1,8.3,10.4,27,279
MITSUBISHI,'Outlander 4WD','SUV - SMALL',2.4,4,AV6,X,9.9,8.1,9.1,31,212
MINI,'COOPER S CONVERTIBLE',MINICOMPACT,2,4,AS6,Z,9.3,7.1,8.3,34,195
CHEVROLET,Camaro,SUBCOMPACT,2,4,AS8,Z,10.8,7.7,9.4,30,220
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8,A6,X,17.7,12.7,15.4,18,362
DODGE,Challenger,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
MERCEDES-BENZ,'CLS 400 4MATIC',COMPACT,3,6,AS7,Z,12.2,8.8,10.7,26,252
FIAT,500L,'STATION WAGON - SMALL',1.4,4,M6,X,9.3,7.1,8.3,34,191
FORD,MUSTANG,SUBCOMPACT,2.3,4,AS6,X,11,7.9,9.6,29,226
BMW,'M6 CABRIOLET',SUBCOMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BMW,'M4 Cabriolet',SUBCOMPACT,3,6,M6,Z,13.8,9.4,11.9,24,280
HYUNDAI,ELANTRA,MID-SIZE,2,4,AS6,X,8.3,6.4,7.4,38,174
DODGE,'AVENGER FFV',MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
BMW,'550i xDRIVE',MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',3,6,AS6,Z,11.5,8.4,10.1,28,232
FORD,GT,TWO-SEATER,3.5,6,AM7,Z,20.4,13.1,17.1,17,403
INFINITI,'Q50 HYBRID',COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
TOYOTA,'Camry LE/SE',MID-SIZE,2.5,4,AS8,X,8.4,6.1,7.4,38,173
BMW,'320i SEDAN',COMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
NISSAN,'JUKE NISMO RS AWD','STATION WAGON - SMALL',1.6,4,AV8,Z,9.4,8.1,8.8,32,202
'ASTON MARTIN','DB11 AMR',MINICOMPACT,5.2,12,A8,Z,15.5,10.6,13.3,21,312
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,AV7,X,7.6,6.5,7,40,166
BUICK,'ENCORE SPORT TOURING AWD','SUV - SMALL',1.4,4,AS6,X,8.9,7.4,8.2,34,192
'LAND ROVER','RANGE ROVER SUPERCHARGED','SUV - STANDARD',5,8,AS8,Z,17.2,12.5,15.1,19,356
BMW,'328i SEDAN',COMPACT,2,4,M6,Z,10.7,6.9,9,31,207
MINI,'COOPER ROADSTER',TWO-SEATER,1.6,4,AS6,Z,8.6,6.5,7.7,37,177
CHEVROLET,'TAHOE FFV','SUV - STANDARD',5.3,8,A6,E,19.8,13.9,17.2,16,285
HONDA,'CIVIC HATCHBACK',FULL-SIZE,1.5,4,M6,Z,8,6.2,7.2,39,167
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,AV,X,9.6,7.4,8.6,33,198
SUBARU,'Outback AWD','SUV - SMALL',2.4,4,AV8,X,10.1,7.9,9.1,31,213
